Iteracion,Temperatura,Calidad,Fase
1000,1.741434,21888.240234,0
2000,0.028882,21588.761719,0
3000,0.000479,21375.681641,0
4000,0.000008,21419.115234,0
5000,0.000000,21425.435547,0
6000,0.000000,21425.392578,0
7000,0.000000,21517.912109,0
8000,0.000000,20983.947266,0
9000,0.000000,21534.574219,0
10000,0.000000,21441.578125,0
11000,0.000000,21425.392578,0
12000,0.000000,21118.283203,0
13000,0.000000,21425.392578,0
14000,0.000000,21672.406250,0
15000,0.000000,21425.392578,0
16000,0.000000,21644.382812,0
17000,0.000000,21425.392578,0
18000,0.000000,21447.761719,0
19000,0.000000,21425.392578,0
20000,0.000000,21361.683594,0
21000,0.000000,21425.392578,0
22000,0.000000,21425.392578,0
23000,0.000000,21326.462891,0
24000,0.000000,21425.392578,0
25000,0.000000,20826.138672,0
26000,0.000000,21320.208984,0
27000,0.000000,21613.164062,0
28000,0.000000,21757.236328,0
29000,0.000000,21237.429688,0
30000,0.000000,21778.707031,0
30016,0.000000,19415.345703,1
30017,0.000000,19489.947266,1
30018,0.000000,20269.472656,1
30019,0.000000,19419.531250,1
30020,0.000000,20329.751953,1
30021,0.000000,19768.470703,1
30022,0.000000,19415.345703,1
30023,0.000000,19768.470703,1
30024,0.000000,20201.115234,1
30025,0.000000,19768.470703,1
30026,0.000000,20195.490234,1
30027,0.000000,20248.033203,1
30028,0.000000,20195.490234,1
30029,0.000000,19489.947266,1
30030,0.000000,20384.033203,1
30031,0.000000,19489.947266,1
30032,0.000000,20269.472656,1
30033,0.000000,20383.048828,1
30034,0.000000,19330.460938,1
30035,0.000000,19489.947266,1
30036,0.000000,19419.531250,1
30037,0.000000,20335.603516,1
30038,0.000000,19489.947266,1
30039,0.000000,20384.033203,1
30040,0.000000,20384.033203,1
30041,0.000000,19415.345703,1
30042,0.000000,19489.947266,1
30043,0.000000,19489.947266,1
30044,0.000000,19330.460938,1
30045,0.000000,19489.947266,1
30046,0.000000,19768.470703,1
30047,0.000000,20329.751953,1
30048,0.000000,20269.472656,1
30049,0.000000,19330.460938,1
30050,0.000000,20201.115234,1
30051,0.000000,19330.460938,1
30052,0.000000,20329.751953,1
30053,0.000000,20384.033203,1
30054,0.000000,20105.722656,1
30055,0.000000,20195.490234,1
30056,0.000000,19768.470703,1
30057,0.000000,20329.751953,1
30058,0.000000,20375.287109,1
30059,0.000000,19415.345703,1
30060,0.000000,20195.490234,1
30061,0.000000,20375.287109,1
30062,0.000000,19489.947266,1
30063,0.000000,20384.033203,1
30064,0.000000,19415.345703,1
30065,0.000000,19330.460938,1
30066,0.000000,20375.287109,1
30067,0.000000,19489.947266,1
30068,0.000000,19415.345703,1
30069,0.000000,20383.048828,1
30070,0.000000,19489.947266,1
30071,0.000000,20248.033203,1
30072,0.000000,20384.033203,1
30073,0.000000,20201.115234,1
30074,0.000000,20195.490234,1
30075,0.000000,20383.048828,1
30076,0.000000,19419.531250,1
30077,0.000000,20329.751953,1
30078,0.000000,20375.287109,1
30079,0.000000,19330.460938,1
30080,0.000000,20384.033203,1
30081,0.000000,19330.460938,1
30082,0.000000,19489.947266,1
30083,0.000000,19489.947266,1
30084,0.000000,19415.345703,1
30085,0.000000,19419.531250,1
30086,0.000000,19768.470703,1
30087,0.000000,19330.460938,1
30088,0.000000,19768.470703,1
30089,0.000000,19489.947266,1
30090,0.000000,19489.947266,1
30091,0.000000,19489.947266,1
30092,0.000000,19330.460938,1
30093,0.000000,20105.722656,1
30094,0.000000,19419.531250,1
30095,0.000000,20329.751953,1
30096,0.000000,19489.947266,1
30097,0.000000,19419.531250,1
30098,0.000000,20201.115234,1
30099,0.000000,19489.947266,1
30100,0.000000,19415.345703,1
30101,0.000000,20375.287109,1
30102,0.000000,20105.722656,1
30103,0.000000,19466.964844,1
30104,0.000000,19330.460938,1
30105,0.000000,20201.115234,1
30106,0.000000,19415.345703,1
30107,0.000000,20384.033203,1
30108,0.000000,19330.460938,1
30109,0.000000,20248.033203,1
30110,0.000000,20335.603516,1
30111,0.000000,19330.460938,1
30112,0.000000,19330.460938,1
30113,0.000000,20329.751953,1
30114,0.000000,20195.490234,1
30115,0.000000,20384.033203,1
30116,0.000000,19768.470703,1
30117,0.000000,19330.460938,1
30118,0.000000,20335.603516,1
30119,0.000000,20195.490234,1
30120,0.000000,20383.048828,1
30121,0.000000,20105.722656,1
30122,0.000000,20335.603516,1
30123,0.000000,19768.470703,1
30124,0.000000,19415.345703,1
30125,0.000000,20383.048828,1
30126,0.000000,20383.048828,1
30127,0.000000,19419.531250,1
30128,0.000000,19415.345703,1
30129,0.000000,19768.470703,1
30130,0.000000,19489.947266,1
30131,0.000000,20201.115234,1
30132,0.000000,20248.033203,1
30133,0.000000,20248.033203,1
30134,0.000000,20335.603516,1
30135,0.000000,19419.531250,1
30136,0.000000,19768.470703,1
30137,0.000000,20329.751953,1
30138,0.000000,19330.460938,1
30139,0.000000,20201.115234,1
30140,0.000000,19415.345703,1
30141,0.000000,20329.751953,1
30142,0.000000,19330.460938,1
30143,0.000000,20105.722656,1
30144,0.000000,20201.115234,1
30145,0.000000,20195.490234,1
30146,0.000000,20384.033203,1
30147,0.000000,20195.490234,1
30148,0.000000,19330.460938,1
30149,0.000000,19768.470703,1
30150,0.000000,19768.470703,1
30151,0.000000,20195.490234,1
30152,0.000000,19916.990234,1
30153,0.000000,19230.798828,1
30154,0.000000,20194.316406,1
30155,0.000000,20141.019531,1
30156,0.000000,20195.300781,1
30157,0.000000,19226.613281,1
30158,0.000000,19226.613281,1
30159,0.000000,20141.019531,1
30160,0.000000,20186.554688,1
30161,0.000000,20059.300781,1
30162,0.000000,19226.613281,1
30163,0.000000,20194.316406,1
30164,0.000000,20012.384766,1
30165,0.000000,20195.302734,1
30166,0.000000,20146.871094,1
30167,0.000000,19301.216797,1
30168,0.000000,19141.728516,1
30169,0.000000,20059.300781,1
30170,0.000000,20080.740234,1
30171,0.000000,19230.798828,1
30172,0.000000,20195.302734,1
30173,0.000000,20059.300781,1
30174,0.000000,19230.798828,1
30175,0.000000,19141.728516,1
30176,0.000000,20195.300781,1
30177,0.000000,20186.554688,1
30178,0.000000,19301.216797,1
30179,0.000000,19226.613281,1
30180,0.000000,19579.736328,1
30181,0.000000,19579.736328,1
30182,0.000000,20187.750000,1
30183,0.000000,20015.886719,1
30184,0.000000,20187.750000,1
30185,0.000000,20289.222656,1
30186,0.000000,19579.736328,1
30187,0.000000,20305.265625,1
30188,0.000000,19579.736328,1
30189,0.000000,19579.736328,1
30190,0.000000,19609.072266,1
30191,0.000000,19579.734375,1
30192,0.000000,20296.837891,1
30193,0.000000,19856.703125,1
30194,0.000000,19863.753906,1
30195,0.000000,19579.736328,1
