Iteracion,Temperatura,Calidad,Fase
100,154.000000,3683.281006,0
200,141.680008,3635.685791,0
300,130.345612,3701.285400,0
400,119.917961,3701.285400,0
500,110.324524,3497.635010,0
600,101.498566,4036.160645,0
700,93.378685,3497.634766,0
800,85.908394,3832.510010,0
900,79.035721,4078.820801,0
1000,72.712868,3885.430176,0
1100,66.895836,3497.634766,0
1200,61.544170,3832.510010,0
1300,56.620636,4036.160400,0
1400,52.090984,4609.972656,0
1500,47.923706,3497.634766,0
1600,47.923706,3620.047363,0
1700,44.089809,3885.430176,0
1800,40.562626,3689.586914,0
1900,37.317616,3620.047363,0
2000,34.332207,3304.244141,0
2100,31.585630,3304.244141,0
2200,29.058781,4078.820801,0
2300,26.734079,3885.430176,0
2400,24.595354,4078.820801,0
2500,22.627726,3701.285156,0
2600,20.817509,3701.285156,0
2700,19.152109,3620.047363,0
2800,17.619940,3701.285156,0
2900,16.210344,3304.244141,0
3000,14.913517,3497.634766,0
3100,14.913517,4036.160400,0
3200,13.720436,4078.820801,0
3300,12.622802,4036.160400,0
3400,11.612978,4078.820801,0
3500,10.683940,3832.510010,0
3600,9.829225,3832.510010,0
3700,9.042887,4078.820801,0
3800,8.319456,3832.510010,0
3900,7.653900,3689.586914,0
4000,7.041588,3885.430176,0
4100,6.478261,3885.430176,0
4200,5.960000,3689.586914,0
4300,5.483200,3885.430176,0
4400,5.044544,3620.047363,0
4500,4.640981,3701.285156,0
4600,4.640981,3620.047363,0
4700,4.269702,3304.244141,0
4800,3.928126,4078.820801,0
4900,3.613876,3620.047363,0
5000,3.324766,3701.285156,0
5100,3.058785,3885.430176,0
5200,2.814082,4078.820801,0
5300,2.588956,4609.972656,0
5400,2.381840,3497.634766,0
5500,2.191292,3689.586914,0
5600,2.015989,3701.285156,0
5700,1.854710,3832.510010,0
5800,1.706333,3689.586914,0
5900,1.569826,4036.160400,0
6000,1.444240,4212.931641,0
6100,1.328701,4078.820801,0
6200,1.328701,3885.430176,0
6300,1.222405,4017.088379,0
6400,1.124613,3689.586914,0
6500,1.034644,3885.430420,0
6600,0.951872,3620.047607,0
6700,0.875722,4078.821045,0
6800,0.805665,3304.244385,0
6900,0.741211,4078.821045,0
7000,0.681915,4078.821045,0
7100,0.627361,4036.160645,0
7200,0.577173,3304.244385,0
7300,0.530999,3832.510254,0
7400,0.488519,3832.510254,0
7500,0.449437,3885.430420,0
7600,0.413482,3885.430420,0
7700,0.413482,3497.635010,0
7800,0.380404,3832.510254,0
7900,0.349971,3832.510254,0
8000,0.321974,3304.244385,0
8100,0.296216,3497.635010,0
8200,0.272519,3885.430420,0
8300,0.250717,3620.047607,0
8400,0.230660,3701.285400,0
8500,0.212207,3832.510254,0
8600,0.195230,3885.430420,0
8700,0.179612,3701.285400,0
8800,0.165243,3832.510254,0
8900,0.152024,3689.587402,0
9000,0.139862,3885.430176,0
9100,0.128673,3885.430176,0
9200,0.128673,3304.244141,0
9300,0.118379,3885.430176,0
9400,0.108909,4036.160400,0
9500,0.100196,4078.820801,0
9600,0.092180,3689.586914,0
9700,0.084806,3832.510010,0
9800,0.078021,3885.430176,0
9900,0.071780,4078.820801,0
10000,0.066037,3701.285156,0
10100,0.060754,3620.047363,0
10200,0.055894,3689.586914,0
10300,0.051422,3689.586914,0
10400,0.047309,3701.285156,0
10500,0.043524,3885.430176,0
10600,0.040042,3885.430176,0
10700,0.040042,4036.160400,0
10800,0.036839,4036.160400,0
10900,0.033892,3497.634766,0
11000,0.031180,4036.160400,0
11100,0.028686,3620.047363,0
11200,0.026391,4036.160400,0
11300,0.024280,3832.510010,0
11400,0.022337,4036.160400,0
11500,0.020550,4212.931641,0
11600,0.018906,3701.285156,0
11700,0.017394,4078.820801,0
11800,0.016002,4078.820801,0
11900,0.014722,3689.586914,0
12000,0.013544,4078.820801,0
12100,0.012461,3701.285156,0
12200,0.011464,3832.510010,0
12300,0.011464,3620.047363,0
12400,0.010547,3497.634766,0
12500,0.009703,3497.634766,0
12600,0.008927,3832.510010,0
12700,0.008213,4036.160400,0
12800,0.007556,3885.430176,0
12900,0.006951,3885.430176,0
13000,0.006395,3304.244141,0
13100,0.005884,3701.285156,0
13200,0.005413,3304.244141,0
13300,0.004980,3701.285156,0
13400,0.004581,3701.285156,0
13500,0.004215,3885.430176,0
13600,0.003878,4036.160400,0
13700,0.003567,3832.510010,0
13800,0.003567,3701.285156,0
13900,0.003282,4036.160400,0
14000,0.003020,3885.430176,0
14100,0.002778,3497.634766,0
14200,0.002556,4078.820801,0
14300,0.002351,3689.586914,0
14400,0.002163,3701.285156,0
14500,0.001990,3885.430176,0
14600,0.001831,3701.285156,0
14700,0.001684,4036.160400,0
14800,0.001550,3497.634766,0
14900,0.001426,3701.285156,0
15000,0.001312,3620.047363,0
15100,0.001207,3620.047363,0
15200,0.001110,3701.285156,0
15300,0.001110,3885.430176,0
15400,0.001021,3885.430176,0
15500,0.000940,3620.047363,0
15600,0.000864,3689.586914,0
15700,0.000795,4036.160400,0
15800,0.000732,3701.285156,0
15900,0.000673,4609.972656,0
16000,0.000619,3304.244141,0
16100,0.000570,3701.285156,0
16200,0.000524,3701.285156,0
16300,0.000482,3701.285156,0
16400,0.000444,4078.820801,0
16500,0.000408,3497.634766,0
16600,0.000376,3497.634766,0
16700,0.000345,3689.586914,0
16800,0.000318,3885.430176,0
16900,0.000318,3832.510010,0
17000,0.000292,3885.430176,0
17100,0.000269,3689.586914,0
