Iteracion,Temperatura,Fase
1,182.000000,0
2,182.000000,0
3,182.000000,0
4,182.000000,0
5,182.000000,0
6,182.000000,0
7,182.000000,0
8,182.000000,0
9,182.000000,0
10,182.000000,0
11,182.000000,0
12,182.000000,0
13,182.000000,0
14,182.000000,0
15,182.000000,0
16,182.000000,0
17,182.000000,0
18,182.000000,0
19,182.000000,0
20,182.000000,0
21,182.000000,0
22,182.000000,0
23,182.000000,0
24,182.000000,0
25,182.000000,0
26,182.000000,0
27,182.000000,0
28,182.000000,0
29,182.000000,0
30,182.000000,0
31,182.000000,0
32,9100.000000,0
33,9100.000000,0
34,9100.000000,0
35,9100.000000,0
36,9100.000000,0
37,9100.000000,0
38,9100.000000,0
39,9100.000000,0
40,9100.000000,0
41,9100.000000,0
42,9100.000000,0
43,9100.000000,0
44,9100.000000,0
45,9100.000000,0
46,9100.000000,0
47,9100.000000,0
48,9100.000000,0
49,9100.000000,0
50,9100.000000,0
51,9100.000000,0
52,9100.000000,0
53,9100.000000,0
54,9100.000000,0
55,9100.000000,0
56,9100.000000,0
57,9100.000000,0
58,9100.000000,0
59,9100.000000,0
60,9100.000000,0
61,9100.000000,0
62,9100.000000,0
63,455000.000000,0
64,455000.000000,0
65,455000.000000,0
66,455000.000000,0
67,455000.000000,0
68,455000.000000,0
69,455000.000000,0
70,455000.000000,0
71,455000.000000,0
72,455000.000000,0
73,455000.000000,0
74,455000.000000,0
75,455000.000000,0
76,455000.000000,0
77,455000.000000,0
78,455000.000000,0
79,455000.000000,0
80,455000.000000,0
81,455000.000000,0
82,455000.000000,0
83,455000.000000,0
84,455000.000000,0
85,455000.000000,0
86,455000.000000,0
87,455000.000000,0
88,455000.000000,0
89,455000.000000,0
90,455000.000000,0
91,455000.000000,0
92,455000.000000,0
93,455000.000000,0
94,22750000.000000,0
95,22750000.000000,0
96,22750000.000000,0
97,22750000.000000,0
98,22750000.000000,0
99,22750000.000000,0
100,22750000.000000,0
101,22750000.000000,0
102,22750000.000000,0
103,22750000.000000,0
104,22750000.000000,0
105,22750000.000000,0
106,22750000.000000,0
107,22750000.000000,0
108,22750000.000000,0
109,22750000.000000,0
110,22750000.000000,0
111,22750000.000000,0
112,22750000.000000,0
113,22750000.000000,0
114,22750000.000000,0
115,22750000.000000,0
116,22750000.000000,0
117,22750000.000000,0
118,22750000.000000,0
119,22750000.000000,0
120,22750000.000000,0
121,22750000.000000,0
122,22750000.000000,0
123,22750000.000000,0
124,22750000.000000,0
125,1137500032.000000,0
126,1137500032.000000,0
127,1137500032.000000,0
128,1137500032.000000,0
129,1137500032.000000,0
130,1137500032.000000,0
131,1137500032.000000,0
132,1137500032.000000,0
133,1137500032.000000,0
134,1137500032.000000,0
135,1137500032.000000,0
136,1137500032.000000,0
137,1137500032.000000,0
138,1137500032.000000,0
139,1137500032.000000,0
140,1137500032.000000,0
141,1137500032.000000,0
142,1137500032.000000,0
143,1137500032.000000,0
144,1137500032.000000,0
145,1137500032.000000,0
146,1137500032.000000,0
147,1137500032.000000,0
148,1137500032.000000,0
149,1137500032.000000,0
150,1137500032.000000,0
151,1137500032.000000,0
152,1137500032.000000,0
153,1137500032.000000,0
154,1137500032.000000,0
155,1137500032.000000,0
156,56874999808.000000,0
157,56874999808.000000,0
158,56874999808.000000,0
159,56874999808.000000,0
160,56874999808.000000,0
161,56874999808.000000,0
162,56874999808.000000,0
163,56874999808.000000,0
164,56874999808.000000,0
165,56874999808.000000,0
166,56874999808.000000,0
167,56874999808.000000,0
168,56874999808.000000,0
169,56874999808.000000,0
170,56874999808.000000,0
171,56874999808.000000,0
172,56874999808.000000,0
173,56874999808.000000,0
174,56874999808.000000,0
175,56874999808.000000,0
176,56874999808.000000,0
177,56874999808.000000,0
178,56874999808.000000,0
179,56874999808.000000,0
180,56874999808.000000,0
181,56874999808.000000,0
182,56874999808.000000,0
183,56874999808.000000,0
184,56874999808.000000,0
185,56874999808.000000,0
186,56874999808.000000,0
187,2843749908480.000000,0
188,2843749908480.000000,0
189,2843749908480.000000,0
190,2843749908480.000000,0
191,2843749908480.000000,0
192,2843749908480.000000,0
193,2843749908480.000000,0
194,2843749908480.000000,0
195,2843749908480.000000,0
196,2843749908480.000000,0
197,2843749908480.000000,0
198,2843749908480.000000,0
199,2843749908480.000000,0
200,2843749908480.000000,0
201,2843749908480.000000,0
202,2843749908480.000000,0
203,2843749908480.000000,0
204,2843749908480.000000,0
205,2843749908480.000000,0
206,2843749908480.000000,0
207,2843749908480.000000,0
208,2843749908480.000000,0
209,2843749908480.000000,0
210,2843749908480.000000,0
211,2843749908480.000000,0
212,2843749908480.000000,0
213,2843749908480.000000,0
214,2843749908480.000000,0
215,2843749908480.000000,0
216,2843749908480.000000,0
217,2843749908480.000000,0
218,142187492802560.000000,0
219,142187492802560.000000,0
220,142187492802560.000000,0
221,142187492802560.000000,0
222,142187492802560.000000,0
223,142187492802560.000000,0
224,142187492802560.000000,0
225,142187492802560.000000,0
226,142187492802560.000000,0
227,142187492802560.000000,0
228,142187492802560.000000,0
229,142187492802560.000000,0
230,142187492802560.000000,0
231,142187492802560.000000,0
232,142187492802560.000000,0
233,142187492802560.000000,0
234,142187492802560.000000,0
235,142187492802560.000000,0
236,142187492802560.000000,0
237,142187492802560.000000,0
238,142187492802560.000000,0
239,142187492802560.000000,0
240,142187492802560.000000,0
241,142187492802560.000000,0
242,142187492802560.000000,0
243,142187492802560.000000,0
244,142187492802560.000000,0
245,142187492802560.000000,0
246,142187492802560.000000,0
247,142187492802560.000000,0
248,142187492802560.000000,0
249,7109374539464704.000000,0
250,7109374539464704.000000,0
251,7109374539464704.000000,0
252,7109374539464704.000000,0
253,7109374539464704.000000,0
254,7109374539464704.000000,0
255,7109374539464704.000000,0
256,7109374539464704.000000,0
257,7109374539464704.000000,0
258,7109374539464704.000000,0
259,7109374539464704.000000,0
260,7109374539464704.000000,0
261,7109374539464704.000000,0
262,7109374539464704.000000,0
263,7109374539464704.000000,0
264,7109374539464704.000000,0
265,7109374539464704.000000,0
266,7109374539464704.000000,0
267,7109374539464704.000000,0
268,7109374539464704.000000,0
269,7109374539464704.000000,0
270,7109374539464704.000000,0
271,7109374539464704.000000,0
272,7109374539464704.000000,0
273,7109374539464704.000000,0
274,7109374539464704.000000,0
275,7109374539464704.000000,0
276,7109374539464704.000000,0
277,7109374539464704.000000,0
278,7109374539464704.000000,0
279,7109374539464704.000000,0
280,355468742005620736.000000,0
281,355468742005620736.000000,0
282,355468742005620736.000000,0
283,355468742005620736.000000,0
284,355468742005620736.000000,0
